=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【依婆】	i55 bo53	①画称老妇人。②泛称年老的妇女。
【依婆姆】	i53 bo21 mu33	泛称年老的妇女。
【依爹】	i55 die55 (dia55)	爸爸〈口〉：泛称别人父亲，转喻对待有权势的人▷{侍候,伺候}伊共～蜀样(侍候他像父亲一样)
【依弟】	i53 die242	①弟弟。②泛称平辈年幼者。③泛称不认识的男性晚辈。
【依家】	i55 ga55	叔叔，兼用作面称及引称。
【依解】	i53 gai33	(解放军)军人〈谑)。也说[依解哥]i21gai21o44。
【依妗】	i53 geing242	舅母，兼用作面称和引称。
【依舅】	i53 giu242	舅父，兼用作面称和引称。
【依哥】	i55 go55	①哥哥。②泛称平辈年长者。③旧日时仆人对年幼主人的尊称。
【依姑】	i55 gu55	姑母(专指父亲的妹妹)也说[姑]gu44[姑姑]gu44gu44。
【依乖】	i55 guai55	父母对小孩的昵称。
【依公】	i55 gung55	①祖父，爷爷。②老祖宗▷{侍候,伺候}伊共～蜀样(侍候他跟老祖宗一样)。
【依老】	i53 lo33	母亲的别称。
【依大头】	i21 luai55 tau53	鸨母。也说[依大]i53luai242。
【依妈】	i53 ma33	祖母，奶奶。②老祖宗▷{侍候,伺候}伊共～蜀样(侍候她跟老祖宗一样)。
【依命】	i53 miang242	对小孩的呢称。
【依姆】	i53 mu33	①伯母。②泛称中年妇女。③弟媳对夫嫂的称呼(从儿称谓)。
【依妹】	i53 mui213	①妹妹。②泛称平辈年幼女性。③泛称不认识的晚辈女性。
【依奶】	i53 ne33	①妈妈〈口语〉。②用作詈语▷～,今且野背(妈的,今天真倒霉)!
【依婶】	i53 ning33	①对继母的称呼。②对叔母的面称。
【依婶】	i53 sing33	①婶婶。②兄嫂对弟媳的称呼(从儿称谓)。③泛指较年轻的中年妇女。
【依嫂】	i53 so33	①嫂子。②泛指中年妇女。
【依志】	i53 zei213	〈谑〉(一般用于熟悉的同志间)。也说[依志哥]。
【依志哥】	i53 zei21 go55	同[依志]。
【依姐】	i53 zia33	①姐姐；②泛称年轻的妇女；③泛称不认识的同辈或晚辈妇女。
【医生姐】	i21 leing53 jia33	对女医务人员的称呼。
【医生娘】	i21 leing55 nuong53	尊称医生的妻子〈旧〉。
【医馆】	i53 uang33	医院〈旧〉。
【衣食】	i55 lik5	讨吉利的份儿▷者礼汝着收，嚽是汝囝～(这礼物你要收下，这是给你儿子的讨吉利的份儿)。
【衣线】	i53 liang213	缝衣用带丝质的线。
【衣裳架】	i53 luong21 ga213	①室内立地式衣架。②室外挂晒衣服用的衣架。
【衣裳䙎】	i55 luong55 ke55	衣襟。
【衣裳板】	i53 luong33 meing21	洗衣服用的长方形搓板儿。
【衣裳师父】	i21 luong21 na53 au242	裁缝师傅。
【衣裳店】	i53 luong21 naing213	成衣铺，裁缝店。
【姨】	i53	①姨母；②对继母的称呼。也说[依姨]i44i53
【姨太】	i21 lai213	年老的长辈的姨太太。旧社会年轻的姨太太，福州人称“姑娘”。
【姨妈】	i33 ma33	姨婆(祖母或外祖母的姐妹)
【姨娘】	i33 nuong53	①对父亲的妾的称呼。如是年轻妇女，也说[姑娘]gu44nuong53②少数人对继母的称呼。
【姨公】	i33 ung55	称父母的姨夫。
【胰皂】	i21 joo242	肥皂,胰子▷～盒(肥皂盒)|～𨑾(肥皂泡)。
【异异】	i21 ei242	肮脏〈儿〉。
【贻顺】	i21 loung242	吝啬▷伊正～，汝伓使想伊出钱(他真是吝啬,你别想叫他出钱)。参见[贻顺哥]。
【贻顺哥】	i21 lung55 ngo55	传说清末，福州的一商人叫马贻顺，一生吝啬，最后家产烧光又失去妻子。闽剧把他的故事编为传统剧目《贻顺哥烛蒂》。后来“贻顺哥”便成为吝啬鬼的代名词。
【耶】	ia53	①漫延▷蜀身野生野发～野価(身上湿疹之类漫延很多)。②针织品宽松变形▷羊毛裲颂遘尾都会～(毛衣穿到后来都会宽松变形)。
【耶饴甜】	ia33 i33 lieng55	腻人地甜〈贬〉。
【野】	ia33	游逛〈贬〉▷伊今晡复～去底块了(他今晚又游逛到哪去了)。
【野】	ia55	很，非常▷～大(很大)|～好(很好)。
【野吠】	ia55 bui242	无理地骂人▷侬着𠲥～，无察伊(他在瞎闹骂人，别理他)。
【野噇野祭】	ia21 coung53 ia55 zie213	乱吃〈詈〉。
【野{墿,路}】	ia55 duo242	骂人诟语。(意谓来历不明的家伙)〈詈〉。
【野咬】	ia55 ga242	①胡乱骂人。②诬赖人。
【野媾】	ia55 gau213	辱骂妇人的诟语〈詈〉。
【野货】	ia55 huo213	辱骂妇人的诟语〈詈〉。
【野囝】	ia55 iang33	①流氓，二流子。②到处游荡的孩子。
【野燕】	ia55 ieng213	蝙蝠。
【野食】	ia21 liek5	嗜零食，嘴馋▷者诸娘囝尽去～，无乇做(这女孩子嘴馋得厉害，没治)。
【野啼嘛】	lia55 lie33 ma53	小孩好哭▷者伲囝哥真～，蜀日会啼几回(这小孩爱哭，一天要哭几次)。
【野撩】	ia55 liu242	骂人诟语。〈詈〉
【野心】	ia21 ling55	心野▷伊会变野～去，都无想读书(他心变得很野,一点不想读书)。
【野道】	ia55 loo242	骂妇人的诟语〈詈〉。
【野猫】	ia21 ma53	①黄鼠狼。②无主的猫。
【野拉】	ia21 na53	①腹泻。②随地大便(多指小孩)。
【野侬】	ia21 neoyng53	骂人诟语，野种〈詈〉。
【野讲】	ia24 oung33	撒谎，胡说。也说[野讲野听]ia21oung21ia44liang213。
【野种】	ia24 zyng33	骂人诟语〈詈〉。
【{亦,也}】	ia242	也▷汝读英文伊～读英文(你读英语他也读英语)。
【{亦,也}有】	ia21 u242	(副)颇，稍微、有点儿▷者菜～大了(这些菜颇大了)|等花～开就会摘得(等花儿稍微开大些便可摘了)伊～想去(他有点儿想去)|伊侬～好(他为人还好)。
【易】	iak24	骗取，骗走▷诸侬囝乞～去(女孩子让人骗走了)。
【掮】	iak5	①扇风▷炉囝～着了(他炉火煽着了)。②招手▷伊着对面街𠲥～汝(他在街对面跟你招手呢)。
【螠】	iah5	小飞蛾▷暝晡灯点𠲥有～飞来(晚上点灯有小飞蛾飞来)。
【影风】	iang21 hung55	受风▷汝病乍好，伓通～(你病刚好，别再受风了)。
【艳】	iang242	闪亮▷者金手指野～，真纯(这金戒指闪闪亮，很纯)。
【蟓】	iang242	一种蔬菜害虫，状如小飞虱。
【椅关】	ie21 guang55	连接椅子腿的横木。
【椅囝】	ie24 iang33	①小椅子；②小板凳。
【椅骹】	ie21 ka55	椅子和凳子的腿。
【椅头】	ie21 lau53	单人坐的凳子。
【椅条】	ie21 leu53	长凳，条凳。
【椅桌】	ie55 looh24	①家具▷去买一套～(去买一套家具)。②桌椅▷伊房里少一套俊其～(他房间少一套漂亮的桌椅)。
【椅𩩍】	ie21 piang55	椅子的靠背。
【穓】	ie242	撒,播▷米袋破去，米～蜀地兜（米袋破了，米撒了满地）|清明了，会～种了。(清明节到了,可以播种了）。
【馔】	ie242	嘴馋，不停地吃零食。也说[馔喙]。
【馔喙】	ie53 jui213	同[馔]。
【夜车】	ie55 y55	晚上劳作至深夜〈旧〉▷今晡有～无（今晚开夜工吗）（这是指解放前妇女在家晚上劳作，与现在单位中开夜车含义不同）。
【益】	iek24	有益于(人)，有利于▷伊{总款,这样款}做～汝（他这么干，有利于你）。
【益腹】	ie53 bouk24	有益456于肠胃▷者青菜～(这种蔬菜对肠胃有好处）。
【益目】	ie33 meoyk5	有益于眼睛(视力)▷汝目睭{𫧃,儥}好，少食番椒，多食～其乇(你眼睛不好,少吃辣椒,多吃对眼睛有好处的东西)|食鱼肝油会～(吃鱼肝能增进视力)。
【益命】	ie53 miang242	避开厄运▷破财～〈俗〉(损失钱财避开厄运)。
【益相】	ie21 suong213	上相。指某人在相片上的面貌比本人好看。
【拽】	iek5	移动（重物)。
【热】	iek5	中医术语,指某些食物具有热性,吃了容易上火。▷油炸粿野～(油条是热性的)。
【热凊】	iek21 ceing213	又发冷又发烧▷伊今旦～，着食药了(他今天发冷又发热，得吃药了)。
【热落】	iek5 loh5	①暖和▷天凊了，汝着颂～仂囝(天冷了,你要穿暖和些)。②热和▷趁～食胃{𫧃,儥}疼(趁热吃下才不会胃疼)。
【热天头】	iek21 tieng55 nau53	①热天,暑天。
【热水壶】	iek21 zy21 (zui21) u53	热水瓶。
【胭脂李】	ieng21jie53Ii3	李子的一种，皮肉均呈血红色。
【烟筒】	ieng55 neoyng53	烟囱
【掩公掩大目】	ieng55 ngung55 ieng21 nai55 meoyk5	一种儿童游戏,即捉迷藏。
【圆】	ieng53	①凑集▷大家～仂囝钱乞伊牧病(大家凑集一些钱给他治病)。②围聚▷人客{𫧃,儥}価。各人～蜀桌食(人客不多,大家聚到一个桌子来吃)。③掺合在一起▷各桌菜底～蜀堆去过鼎(各席剩菜掺合在一起重煮一下)。
【圆珠珠】	ieng21 juo55 juo55	①圆溜溜▷只粒球～真有味(这个球圆极了真好玩)。②胖乎乎▷者伲囝～真有秣(这小孩长得胖乎乎的真可爱)。
【圆环】	ieng21 kuang53	圆圈儿。
【圆麇】	ieng33 kyng53	聚集一群人▷～结阵相拍(成群结队打架)。也说[圆麇打阵]ieng21kyng21da44deing242
【圆鼎四角床】	ieng21 nieng21 si21 eoyk21 soung53	配不来,不协调▷两隻佁{𫧃,儥}落，正～〈俗〉(两个合不来,就像圆锅配不上方蒸笼一样)。
【圆滇】	ieng21nieng212	饱,满▷是蜀碗菜着掏～(每碗菜要装满一些)。
【圆中】	ieng33 noung55	整齐集中▷家私排清楚去,房里就去(家具摆清楚,房间就显得整齐紧凑)。也说[圆中中]。
【圆中中】	ieng21 noung55 noung55	①圆满热乎▷伊亲讨嚼囇,汝蜀厝～,老人就欢喜去(如果他娶了亲,你全家圆满热乎,老人就喜欢啦)!②同“圆中”。
【燕】	ieng213	①福州风味食品,用精肉和甘薯粉打成薄皮,包上肉馅,类似馄饨,也叫“扁肉燕”。②燕子。
【燕鸟】	ieng53 jeu33	燕子。也叫[燕]。
【燕丸】	ieng55 nguong53	参见[燕]、[燕丝]。
【燕皮】	ieng21 pui53	用瘦肉丝和芡粉揉在一起打成的薄片,用作包“扁肉燕”的皮。参见[燕]条。
【燕丝】	ieng55 si55	一种食品。把“燕皮”切成丝状,可直接煮着吃,也可裹肉丸子成燕丸。参见[燕皮]条。
【偃】	ieng213	占据▷早早去戏园～位(早早到戏院去占个位子)。
【偃食】	ieng55 siek5	独占食物▷者伲囝真猫乍～,{𫧃,儥}让依弟(这小孩很霸道,独占食物,不会让弟弟)。
【艳】	ieng242	艳丽▷者花野～(这朵花开得艳丽)。
【幼】	iu213	①嫩▷者菠薐野～(这菠莱很嫩)。②细嫩(指皮肤或肌肉)▷伊人生野～(她皮肤长得细嫩)者鸡肉野～(这只鸡的肉很细嫩)。也说[幼墩]iu53loung242。
【伓】	ing55	否定副词,不▷～去(不去)|～讲～听(不言语)|～使(不必)|～卖(不卖)。
【伓在】	ing53 jai213	不在乎▷伊有其是钱～只仂团(他有的是钱,不在乎这一点儿)。
【伓在觉】	ing21 jai53 ooyk24	没有察觉,不知不觉▷伊乜候行去我也～(他什么时候离开了我也没有察觉)。也说[{𫧃,儥}在觉]me21jai53oyk23[{𫧃,儥}见觉]ing21ngieng53ngoyk23。
【伓像团】	ing21 juong53 ngiang33	①顽皮▷伊真～,汝莫惹伊(他顽皮得很,你别去逗他)。②不正经▷伊真～,目睭单覷诸娘囝(他不正经,眼睛专门盯着女孩子瞧)。③诡计多端▷伊真～,汝怀通乞伊症做去(他诡计多端,你别让他算计了)。
【伓像尊】	ing21 juong55 zoung55	①没有长辈的样子▷伊真～,故此伲囝都惊伊(他没有长辈的样子,所以孩子都不怕他)。②不识抬举▷伊～,为伊好叫伊做,伊硬伓做(他不识拍举,为他好叫他做,他硬是不肯做)。
【伓使】	ing53 nai33	①不必,不用,用不着▷者话～讲(这种话不用说)|～汝对手(不用你帮)|～{总款,这样款}(不必如此,别这样)。②不,不要。单说表示否定，拒绝▷我～(我不要)|我就是(我偏不)!
【伓使死】	ing21 nai24 si33	该死▷汝{总款,这样款}做～(你这么做该死)。
【伓使讲】	ing21 nai24 oung33	不必说，自然的▷～着汝去(自然得你去)。
【伓是形】	ing21 ni55 hing53	形容动作、行为不成体统,不合杜会礼仪规范▷颂{只,这}{般,满}短其裤野～(穿这么短的裤子真不像话)|食饭对头夺,真～(吃饭你争我抢,真不像样)。也说[伓是款]。
【伓是货】	ing21 ni53 huo213	同[伓是乇]。
【伓是囝】	ing21 ni53 iang33	不正经,不是东西▷伊真～,汝着细腻(他真不是好东西,你要小心)!也说
【伓是款】	ing21 ni53 kuang33	同[伓是形]。也说[伓是形款]ing21ni53ing53nguang31。
【伓是色】	ing21 ni53 laik24	①形容难看的颜色▷只件衣裳野～,我{𫧃,儥}中意(这件衣服的颜色真难看,我不中意)。②令人不愉快的神情▷我若迟转厝，伊面就～去(我要是回家晚了,她的险色就很难看）。
【伓是式】	ing21 ni53 leik24	馊主意,怪主意▷底侬出其～(谁出的馊主意)?
【伓是声】	ing21 ni55 liang55	剌耳尖厉令人恐怖的声音▷半暝～告叫(半夜里尖叫)。
【伓是心绪】	ing21 ni21 ling53 neoy242	心情不好,不安,忧虑,烦燥▷我只两日真～,直透惊伊会吵事(我这两天心情很不安,老是担心他要出事)。
【伓是势况】	ing21 ni21 lie53 uong213	①情况不妙▷看见真～赶紧走(见情况不妙赶紧溜走)。②姿式不对▷笔掏吼～,蒋样写字(笔拿得不合式,怎么写字)?
【伓是面】	ing21ni53me1ng213	令人不愉快的神态、表情▷伊共我{𫧃,儥}平,看见我都是～其(他与我关系不好,见到我总是摆出难看的面孔)。
【伓是侬】	ing21 ni55 neoyng53	同[伓是囝]。
【伓是乇】	ing21 ni53 nooh24	不是好东西,坏蛋,坏家伙▷者侬～,汝着注意(这人不是好东西,你得当心着点)。也说[伓是货]。
【伓是脬】	ing21 ni55 pa55	同[伓是胚]。
【伓是胚】	ing21 ni55 pui55	形容令人厌恶的个性、品行与“伓是形”相比,后者指人的外部表现,前者指人的个性特征▷只隻侬野～,故神气害侬去急(这个人真坏,存心要使别人着急)。也说[伓是脬]、[伓是胚魄]、[伓是沙坯]。
【伓是沙坯】	ing21 ni21 sa55 pui55	同[伓是坯]。
【伓是生相】	ing1ni21sang53suong213	形容卑下的令人生厌的举止行为,常用于指贪婪的样子或馋相▷者侬真～,讲食㘓就流(这人真叫人恶心,谈到吃就流口水)。
【伓是胚魄】	ing21ni2wui53woyk24	同[伓是胚]。
【伓成剂】	ing53 niang21 ja242	不成器▷伊自家～,{𫧃,儥}中栽培(他自己不成器,不值得培养)。
【伓成做】	ing53 niang21 joo213	不值得去干▷若是{总款,这样款}讲法,就～（如果是这么说,那就不值得去干)。
【伓成侬】	ing55 niang55 neoyng53	人品不好,不是好人。
【伓成讲】	ing53 niang33 ngoung33	不该说。
【伓啻】	ing53 nie213	不止,不仅▷～只仂囝(不只这一点儿)|{总款,这样款}(不仅如此)。
【伓通】	ing55 neoyng55	①不可以▷～{总款,这样款}做(不可这样做)。②不要▷～蛮笑(别开玩笑)。
【伓若势】	ing21 nuo53 lie213	①没准,说不定▷～会逿雨(说不定会下雨)。②不小心▷～跋蜀倒,(不小心摔一跤)。
【伓讲伓听】	ing21 ngoung21 ing53 niang213	不言语,沉默寡言▷伊者侬～,{𫧃,儥}{八,仈}伊心𠲥想{什乇,世乇}(他这人沉默寡言,不知他心里想什么)。
【伓过意】	ing21 nguo53 ei213	过意不去▷许{般,满}远来,饭无食就行,尽去～（那么远来,没吃饭就走,真过意不去)。
【伓过错】	ing21 nguo53 joo213	不小心▷～拍逿做破去,伓是我特意掏摔其(不小心掉下去打破了,不是故意摔的)。
【人情】	ing33 jing53	应酬礼金▷蜀年遘暗～着去几百(一年到头应酬送礼得花去几百元)。
【人情世事】	ing2jing2sie53leoy242	①人情世故▷只大了～都{𫧃,儥}{八,仈}(这么大了还不懂人情事故)。②社交往来的应酬▷～总着使仂囝钱(社交应酬总得花点儿钱)。
【人家斋】	ing21 nga55 je55	私塾。
【人家厝】	ing21 nga53 juo213	民宅▷～共机关学校蜀看就{八,仈}(民宅或机关学校一看就知道)。
【应喙】	ing53 jui213	①顶嘴▷伊奶真会咒伊,伊也真会～(他妈老咒骂他,他也很会頂嘴)。②听吩咐,答话▷伊厝有侬使,有侬～(她家里有佣人帮着做事,有事有人听吩咐答话)。
【应该势】	ing21 ngai53 lie213	应该。也说[应该当]ing21ngai44loung44。
【印盒】	ing21 ngak5	印泥盒儿。
【印色】	ing21 naik24	印泥。
【引线】	ing55 niang213	鞭炮等的导火线。
【邀】	iu55	①结交(朋友)▷伊～过野価诸娘囝（他结交过许多女孩)。②谈恋爱▷伊最近𠲥～(他最近在谈恋爱)。③搀扶,拉着手携带▷使伓使告蜀隻后生囝～囇(要不要叫个年青人搀扶下)|伲囝过马{墿,路}着大儂～(小孩过马路要有大人拉着手带)。
【邀{墿,路}】	iu53 luo242	领路▷上岭着侬～(上山要有人带路)。
【腰捋】	iu55 luak5	腰扭伤。
【由扯】	iu33 cie33	拉手,扯平▷只件乇便宜仂囝,许件乇贵仂囝,～过去差不多钱(这件东西便宜些,那件东西贵些,扯平了钱差不多)。
【油猴】	iu33 gau53	不带灯罩的煤油灯。也称[洋油猴]。[洋油灯]
【油䀇】	iu33 gu33	装油的罐子
【油菜心】	iu21 jai55 ling55	油菜茎与花儿。
【油菜白】	iu21 jai55 wak5	小白菜的一种。
【油筒】	iu33 leoyng53	鲐鱼。
【油甜苞】	iu21 lieng53 mau213	玉蜀黍,玉米。
【摆船椅】	iu33 lung33 ie33	摇椅。
【油麻】	iu33 muai53	芝麻。
【油麻格】	iu33 muai33 gak5	芝麻糖。
=============PAGESTART=161,PAGEEND=170
【油放】	iu21 uong213	带玻璃罩的媒油灯,比“洋油猴”大。
【油扁】	iu33 wieng33	一种状似水饺的汤圆。
【油炸粿】	iu21 (i21) zak24 gui33	油条。
【油翅】	iu21 cie213	鱼的一种,产于闽江囗,剌多而味美。
【邮差】	iu21 je55	同[邮政差]。
【邮政差】	iu21 jing55 je55	邮递员〈旧〉。也说[邮差]。
【由】	iu21	(介)从▷～头做起(从头做起)。
【要紧】	iu53 ing33	重要,紧要▷{只,这}{般,满}～其事计汝也{𫧃,儥}记去(这么重要的事情你也忘了)。
【要紧侬】	iu21 ing21 neoyng53	重要的人物▷伊是～死去伊囫轮厝无饭食(他是家庭重要成员,要是死了他家没饭吃了)。
【幼秀】	iu53 liu213	身体苗条,举止文雅▷城裡诸娘囝粗事做得少,故此乍～(城里的姑娘粗活干得少,所以才苗条、文雅)。
【幼嫩】	iu53 nooung242	①嫩。②细嫩。同[幼]。
【幼雅】	iu53 nga33	文雅。
【幼蜂】	iu55 wung55	小蜂。
【又又】	ius53ieu242	〈副〉仍然是,到头来还是▷讲𠲥～也是无乇使,{固,故}不如伓讲(说了到头来也没用,还不如不说)。
【骹】	ka55	①脚▷～真长,伓好买鞋(脚太长鞋子不好买)。②下肢▷伊～长行得快(他脚长走得快)。③动物的蹄爪▷鸡～(鸡爪）猪～（猪蹄)。④家具的腿儿▷桌～(桌腿儿)。⑤物体的最下部▷山～(山脚)。⑥参加牌戏的人▷拍牌{固,故}差蜀～（打牌还差一个人)。
【骹甲】	ka53 ak24	脚趾甲。也说「骹掌甲]。
【骹后𩨑】	ka21au14lang44	脚跟。
【骹印】	ka53 eing213	脚印儿。也说[骰迹]。
【骹踏】	ka55 dak5	自行车的脚踏板。
【骹汗】	ka55 gang242	脚汗。
【骹骨】	ka53 goouk24	①腿骨。②腿脚,走动的能力▷～硬(腿脚利索)。
【骹筋】	ka55 gung55	腿部的筋▷泅水就惊～虬去(游泳就怕腿抽筋）。
【骹囝】	ka53 iang33	狗腿子,爪牙,喽啰▷伊是痞囝头,～真価(他是流氓头子,爪牙很多)。
【骹腰】	ka55 iu55	足弓部,脚心▷无～(平足)。
【骹球】	ka55 iu53	足球。
【骹趾】	ka53 jai33	脚趾头。
【骹趾夹】	ka21 jai21 geik5	脚趾夹缝。
【骹趾尾】	ka21 jai24 mui33	脚趾的末端,趾尖。
【骹趾缝】	ka21 jai24 poung213	脚趾缝。
【骹掌甲】	ka21 jieng55 ngak24	同。[骹甲]。
【骹手】	ka53 jiu33	①手脚,手和脚▷蜀日遘暗～都无闲（一天到晚手脚都不闲着)。②人手▷～无够,汝再告几隻来对手(人手不够,你再去叫些人来帮忙)。
【骹手下】	ka21 jiu55 a24	手脚的动作,身手▷～真轮活(手脚很灵活)。
【骹蹠底】	ka21 juo53 le33	脚掌▷～乞铁钉戳去(脚掌被铁钉扎了)。也说[骹掌]。
【骹骹】	ka33 ka55	“骹”的小称。参见[骹]①②③④。不用于人的脚。
【骹踏车】	ka21 lak5 cia55	自行车。
【骹带】	ka53 lai213	缠脚女人的裹脚布。
【骹𩨑卵】	ka21 lang53 nooung242	人脚的后跟部,状似卵形。
【骹底】	ka53 le33	脚底,足底。
【骹腿】	ka53 leoy33	腿部,大腿。
【骹腿瓠】	ka21 leoy21 wu53	瓠瓜的一种,瓜形似人的大腿。
【骹桶】	ka53 leoyng33	①洗脚用的木盆。②洗衣物的大盆。
【骹神】	ka55 ling53	走路时脚步的轻重▷伊～真轻,行裡来我也{𫧃,儥}见觉(他的脚步很轻,走进来时我也没察觉)。
【骹臁】	ka55 lieng53	小腿的正面。
【骹锁】	ka53 lo33	脚镣。
【骹肚】	ka53 lu33	小腿肚。也说[骹肚囝]
【骹肚囝】	ka21 lu24 iang33	同[骹肚]。
【骹{墿,路}】	ka53 luo242	习惯的去处▷去汝厝𠲥行有～去,日日去(到你家去成习惯了,天天去）。
【骹面】	ka53 meing213	脚面。
【骹目】	ka55 meoyk5	踝子骨。也说[骹牛目]。
【骹毛】	ka55 mo53	腿毛。
【骹毛孙】	ka55 mo55 loung55	指地位和行辈极为低贱的追随者。
【骹尾】	ka53 mui33	床上与“床头”相对的一端▷汤壶癭～𠲥(汤婆子搁在脚旁)。
【骹𬂌】	ka55 neing55	生在足部的趼子或鸡眼。
【骹牛目】	ka55 ngu55 meoyk5	同[骹目]。
【骹皮】	ka55 pui53	脚掌上的硬皮
【骹弯】	ka55 uang55	膝关节背部。
【骹柄】	ka53 wang213	猪的蹄膀,肘子。
【骹颁夹】	ka21 wang55 geik5	腹股沟。
【骹颁下】	ka21 wang53 nga242	胯下。
【骹腹头】	ka21 wu21 tau53	膝盖。
【骹布】	ka53 wuo213	擦脚布。
【骹步】	ka53 wuo242	脚步。
【骹迹】	ka53 ziek24	同[骹印]。
【骹尖】	ka55 zieng55	脚尖。
【敲】	ka213	①用力地砸▷共只块石板～对长去(把这块石板砸成两段)。②剪断,裁断▷头发～短仂囝(头发剪短一点儿)。
【客鹊】	ka55 juok24	喜鹊。
【客遛】	ka55 liu53	①玩儿▷伲囝贪～(小孩贪玩儿)|去杭州～(到杭州玩儿)|～沙(玩沙子)。②玩弄,捉弄▷～侬(捉弄人)。|～溪(捉弄人)。
【客遛囝】	ka53 liu21 iang33	不务正业、专喜玩乐的人;花花公子。也说[客遛脚]。
【客遛做】	ka53 liu21 joo213	边玩边做,像玩儿似的做▷伊做作业都是～,故此会做半暝{固,故}未做完(做做作业总是边玩儿边做,所以做到半夜还没做完)。
【客遛溪】	ka44liu44k'e44	拿人当傻瓜耍弄▷看见我衣裳颂破破势,搦我～伓是(见我穿破衣服,拿我当傻瓜耍弄是吗)?
【客遛脚】	ka53 liu21 yok24	同[客遛囝]。
【客遛帮】	ka55 liu55 woung55	常在一块儿玩儿的伙伴。
【拾】	kak24	捡起,拾。
【拾骨】	kak5 goouk24	从坟坑中收集骨殖(以重新安葬或火葬)。
【拾囝婆】	kak21 giang21 mo53	接生婆,民间为人接生的妇女。
【拾𠰢】	kak5 keoyng213	寻隙,闹矛盾,关系紧张,不和▷伊两个侬～真{𫧃,儥}了(他俩关系紧张又好长时间了)。
【拾搭】	ka53 lak24	修理▷～收音机(修理收音机)。
【拾粒】	kak24 lau33 le33	节俭▷老王真～,钱趁,厝喇亦逢乇都有(老壬很节俭,钱挣得不多,家里也什么都不缺)。
【拾留底】	kak21 lau33 le33	捡取别人丢弃或挑剩下的东西。
【拾刷】	kak5 soouk24	①修整,拾掇▷蜀身～真平直(衣着拾掇得很整齐)|只几盆花乞伊～野俊去(这几盆花让他修整得很漂亮了)。②惩治(人),收拾▷只隻侬真伓是胚,底蜀日我着～伊蜀回(这人很坏,哪一天我要治他一治）。
【拾话讲】	kak21 ua53 oung33	搬弄是非,将听到的背后议论告诉被议论者▷伊真会～,我有话都怀讲伊听(她爱当小广播,我有什么话都不告诉她)。
【拾话尾】	kak21 ua53 mui33	捡别人的话说,鹦鹉学舌。也说[拾话柿]。
【拾话柿】	kak21 ua53 pui213	同[拾话尾]。
【烚】	kak5	用文火反复烧煮▷粥着多～仂{𫧃,儥}(粥要多煮一会儿)。
【尅】	kaik24	挤,拥挤▷礼拜日街中野～(星期天街上很拥挤)|厝住野～(房子住得很拥挤)|～里去(挤进去)。
【䀫】	kaik24	闭眼▷目睭～去(眼晴闭上)。
【㪠】	kaing213	盖,盖上▷开水壶无～(暖壶没盖上)。②盖儿,盖子▷茶杯～(茶杯盖儿)|鼎～(锅盖儿)。
【㪠㪠】	keing21 kaing213	盖儿,盖子。
【堪堪】	keing21 ngang55	恰好,正巧,正在▷我～𠲥讲伊,伊就来了(我刚好说到他时,他就来了)|伊讲其许本书,我～乍看完(他说的那本书,我正好刚读完)。
【槛门】	kang21 muong53	窗户。也说[槛门囝]、[槛门窗]。
【槛门囝】	kang21 muong53 ngiang33	同[槛门]。
【槛门窗】	kang21 muong55 coung55	同[槛门]。
【槛门白】	kang55 muong21 kou242	窗户▷月照～，月姐做新妇〈谣〉(月儿照在窗户上,月亮蛆姐出嫁了）。
【坎爿】	kang21 meing53	碎瓦片。也说[坎爿儿]。
【坎爿儿】	kang24 meing33 ne33	同[坎爿]。
【坎囟】	kang55 neing213	囟门。
【看囝】	kang53 giang33	看孩子。
【看花树】	kang21 hua53 jiu213	用迷信的方法预测孕妇生男还是生女。
【看亲】	kang55 jing55	相亲,议婚嫁时当事人互相见面。
【看命】	kang53 miang242	算命。
【看命猴】	kang21 miang55 gau53	对以算命卜卦为职业者的蔑称。
【看命鸟】	kang21 miang53 jeu33	算命者用以啄卦的小雀儿。
【看命先生】	kang21 miang21 ning55 nang55	算命先生。
【看侬】	kang44neoyng53	势利眼,对不同地位的人采取不同的态度▷伊老妈野会～(他老婆很势利眼)。俗语“看侬摆碗菜”意即给不同的人以不同的招待。
【看护】	kang53 ngou242	护士。也说[看护士]、[医生姐](旧) i21leing53jia31
【看护士】	kang21 ngu53 leoy242	同[看护]。
【抠】	kau55	相合,掺和▷～蜀堆食(合在一起吃)|钱～𠲥使(钱合着用)|面粉裡势～仂囝豆粉(面粉里掺和进一些豆粉)。
【抠气】	kau53kei214	麻烦,棘手▷只件事计野～(这件事情很棘手)。
【扣穿】	kau55 cuong55	扣眼儿。也说[扣空]、[扣门]。
【扣扣】	kau21 kau21	扣子,纽扣。
【扣空】	kau55 keoyng55	同[扣穿]。
【扣门】	kau55 (keu55) muong53	①用以扣住纽扣的套子。②同[扣穿]。
【窟窟】	kouk21 koouk24	①较深的凹陷处,坑▷蜀地兜都是～，（满地面尽是坑坑洼洼的)。②较小的池螗▷挖蜀隻～养鱼(挖个小池塘养鱼)。
